abandon the 41 abandon of 51
assumes the 111 assumes is 40
assumes be 70 assured the 43
assured the 48 assured the 80
assured the 40 assured he 75
assured he 599 assured if 76
assured in 42 assured it 209
assured the 1944 assured he 58
assured he 167 assured he 45
assured he 54 assured he 155
assured the 99 assured he 58
assured he 54 assured the 98
assured he 132 assured the 132
assured he 251 assured the 68
assured be 234 assured do 43
assures he 147 assures the 124
attacking the 50 attacks the 151
attacks to 115 attacks the 41
attains is 40 attempt in 42
attempt the 51 attending to 64
attract he 129 attract to 168
attract he 42 attract the 114
attract to 43 attract to 109
attract to 140 attract the 91
attract the 55 auditor the 117
auditor it 63 auditor the 247
augment the 56 avarice by 105
avarice to 73 average the 62
averred in 119 aversion the 729
aversion to 158 avoided the 138
avoided the 53 avoided the 65
avoided the 166 avoided the 66
awakening the 154 awakens so 157
awarded to 40 awkward an 142
