um a 122 um a
us a 88 us a
69 us a 1361 us
a 164 us a 95
us a 40 us a
47 us a 78 us
a 97 us a 367
us a 1362 us a
40 us a 225 us
a 83 us a 154
us a 260 us a
65 us a 484 us
a 48 us a 116
us a 118 us a
228 us a 865 us
a 40 us a 83
us a 78 us a
46 us a 41 us
a 104 us a 82
us a 1109 us a
41 us a 122 us
a 181 us a 51
us a 945 us a
647 us a 53 us
i 398 us a 40
us a 130 us a
132 us i 47 us
a 67 us a 49
us a 1790 us a
133 us a 72 us
a 134 us a 85
us a 76 us a
52 us a 107 us
a 165 us a 91
us a 748 us a
154 us a 68 us
a 52 us a 178
us i 157 us a
267 us a 210 us
a 248 us a 719
us i 174 us a
54 us a 708 us
a 49 us a 48
us a 2986 us a
420 us a 251 us
a 136 us a 109
us a 85 us a
47 us i 216 us
i 57 us a 3106
us a 1774 us a
95 us a 64 us
a 42 us a 197
us a 136 us a
69 us a 118 us
a 44 us a 101
us a 331 us a
12994 us b 147 us
c 50 us e 44
us i 2963 us p
205 us s 332 us
t 108 us x 529
us a 210 us a
683 us a 6219 us
i 114 us a 613
us a 257 us i
76 us a 43 us
a 101 us a 1272
us a 168 us a
121 us a 48 us
a 1210 us a 202
us a 151 us a
54 us a 91 us
a 81 us a 99
us i 76 us a
127 us a 517 us
a 56 us a 94
us a 44 us i
51 us a 3182 us
a 218 us a 436
us a 66 us a
1078 us a 46 us
a 53 us a 610
us a 807 us a
43 us i 74 us
a 65 us a 356
us a 65 us a
110 us a 62 us
a 261 us a 1390
us a 69 us a
813 us a 119 us
a 337 us a 79
us a 1601 us a
95 us a 81 us
a 103 us a 52
us a 318 us a
84 us a 77 us
a 40 us a 77
us a 744 us a
115 us a 142 us
a 1262 us a 80
us a 44 us a
216 us a 114 us
a 1135 us a 179
us a 401 us i
679 us a 50 us
a 1458 us a 55
us a 110 us a
94 us a 48 us
a 1501 us a 659
us a 56 us a
74 us a 55 us
a 91 us a 114
us a 422 us a
57 us a 172 us
a 864 us a 546
us a 50 us a
350 us a 59 us
a 77 us a 110
us i 50 us a
47 us i 157 us
a 578 us a 62
