ian . 41 ian
if . 243 if
. 566 if .
63 if . 47
if . 421 if
. 113 if .
368 if ! 30379
if . 99 if
. 119 if .
45 if . 63
if . 11388 if
. 151 if .
47 if . 143
if . 247 if
. 61 if .
60 if . 476
if . 382 if
. 49 if .
247 if . 1799
if . 174 if
. 88 if .
156 if . 56
if . 40 if
. 87 if .
1175 if . 1324
if . 161 if
. 203 if .
348 if . 307
ig . 4047 ii
. 1089 ii .
144 ii . 53
ii . 332 ii
. 67 ii .
58 ii . 2105
ii . 80 ii
. 74 ii .
50 ii . 544
ii . 1243 ii
. 180 ii .
230 ij . 76
ij . 285 ij
. 41 ij .
61 ik . 337
il . 228 il
. 49 il .
259 il ? 190
il . 144 il
. 559 il .
1489 il . 260
il . 127 il
. 93 il !
233 il ! 1446
il . 87 il
? 171 il .
58 il . 150
il . 72 il
? 656 il ?
199 il . 175
il . 1949 il
. 181 il !
1671 il ? 90
il . 1375 il
. 194 il !
11644 il . 51
il . 233 il
. 220 il .
88 il . 46
il . 190 il
. 258 il .
107 il . 77
il ! 105 il
. 50 il .
92 il . 73
il . 147 il
. 111 il !
469 il . 48
il . 1308 il
. 348 il .
153 il . 43
il . 2562 il
? 875 il .
93 il . 240
il . 65 il
. 108 il .
140 il . 129
il . 1175 il
. 504 il .
452 il ! 2010
il . 73 il
. 186 il .
285 il . 281
il ? 133 il
. 93 il .
1043 il . 4794
il . 96 il
. 156 il .
133 il . 103
il . 74 il
. 184 il .
46 il . 444
il ! 1864 il
. 62 il .
127 il ? 302
il . 536 il
. 350 il .
428 il . 259
il . 50 il
. 99 il .
41 il . 78
il ? 175 im
. 169 im .
260 im . 169
im . 150 im
. 56 im .
1200 im . 47
im ! 593 im
. 733 im .
50 im . 404
im . 158 im
. 291 im .
45 im . 1433
im . 1630 im
. 152 im .
115 im . 172
im . 342 im
. 345 im .
67 im . 111
im . 413 im
! 2578 im .
2452 im . 49
im . 213 im
. 70 im .
1243 im . 1302
im . 357 im
. 201 im .
129 im . 240
im . 218 im
. 118 im .
1752 im . 459
im . 590 im
. 78 im !
903 im . 155
im . 157 im
. 241 im .
681 im . 192
im . 409 im
. 822 im .
254 im . 259
im . 115 im
. 272 im .
159 im . 814
im . 385 im
. 127 im .
1199 im . 177
im . 626 im
. 55 im .
160 im . 353
im . 554 im
. 97 im .
42 im . 269
im . 113 im
. 144 im .
232 im . 83
im . 199 im
. 1006 im .
2106 im . 189
im . 232 im
. 146 im .
271 im . 113
im . 67 im
. 290 im .
65 im . 53
im . 427 im
. 5794 im .
310 im . 3219
im . 560 im
. 137 im .
700 im . 362
im . 53 im
. 490 im .
123 im . 989
im . 188 im
! 194 im .
858 im . 186
im . 176 im
. 258 im .
1615 im . 133
im . 364 im
. 363 im .
1658 im . 2652
in . 233 in
. 133 in .
64 in . 523
in . 79 in
. 132 in .
295 in . 353
in . 101 in
. 117 in .
243 in . 68
in . 201 in
. 379 in .
95 in . 186
in . 2692 in
. 52 in .
204 in . 161
in . 530 in
. 55 in .
4613 in . 168
in . 83 in
. 167 in !
236 in . 27255
in . 86 in
. 302 in .
205 in . 2960
in . 4515 in
. 369 in !
34141 in ! 48062
in . 3306 in
. 52 in !
11311 in . 161
in . 155 in
. 319 in .
109 in . 105
in . 774 in
. 234 in .
124 in . 68
in . 154 in
. 137 in !
10086 in . 3907
in . 710 in
. 189 in .
120 in . 82
in . 83 in
. 137 in .
51 in . 108
in . 190 in
. 63 in .
248 in . 41
in . 105 in
. 49 in .
721 in . 200
in . 745 in
. 71 in .
62 in . 302
in . 225 in
. 742 in .
75 in . 52
in . 242 in
. 192 in .
7083 in . 515
in . 289 in
. 76 in .
463 in . 1890
in . 453 in
! 49916 in .
207 in . 110
in . 213 in
. 303 in .
223 in ! 6124
in . 657 in
. 187 in .
815 in . 456
in . 3039 in
. 50 in .
70 in . 1651
in . 121 in
. 88 in .
102 in . 18636
in . 85 in
. 997 in .
2134 in . 121
in . 223 in
. 64 in .
132 in . 282
in . 49 in
. 176 in !
2686 in . 480
in . 51 in
. 170 in .
1362 in . 43
in . 100 in
. 136 in .
220 in . 243
in . 75 in
. 125 in .
386 in ! 246
in . 1282 in
. 428 in .
156 in . 79
in . 144 in
. 139 in .
180 in . 3251
in . 112 in
. 314 in .
9116 in . 146
in . 141 in
. 74 in .
57 in . 912
in . 154 in
. 736 in !
4254 in . 70
in . 178 in
. 286 in .
79 in . 152
in ! 14497 in
. 585 in .
52 in ! 992
in . 746 in
. 44 in .
160 in . 62
in . 58 in
. 161 in .
89 in . 77
in . 284 in
. 526 in .
144 in . 23515
in . 1985 in
. 46 in .
58 in . 416
in . 56 in
. 45 in .
101 in . 57
in . 418 in
. 580 in .
1703 in . 1576
in . 153 in
. 3780 in .
341 in . 62
in . 90 in
. 153 in .
4267 in . 173
in . 92 in
. 855 in .
130 in . 232
in . 519 in
. 123 in .
581 in . 117
in . 560 in
! 297678 in .
169 in . 75
in . 6062 in
. 2452 in !
2344 in . 85
in . 80 in
. 128 in .
139 in . 597
in . 90 in
. 2302 in .
251 in . 140
in . 117 in
. 213 in .
309 in ! 1198
in . 1040 in
. 1511 in .
373 in . 641
in . 4096 in
. 76 in .
100 in . 79
in . 234 in
. 371 in .
4301 in . 150
in . 78 in
. 125 in .
598 in . 574
in . 82 in
. 387 in .
101 in . 55
in . 209 in
. 54 in .
1965 in . 4003
in . 481 in
. 61 in .
295 in . 621
in . 3371 in
. 70 in .
1684 in . 6234
in . 84 in
. 100 in .
370 in . 738
in . 58 in
. 113 in .
289 in . 155
in . 643 in
. 757 in .
719 in . 158
in . 65 in
. 308 in .
559 in . 452
in . 62 in
. 252 in .
21035 in . 87
in . 131 in
. 1304 in .
45 in . 76
in . 117 in
. 3072 in .
7224 in . 70
in . 110 in
. 49 in .
52 in . 345
in . 160 in
. 164 in .
171 in . 118
in . 478 in
. 71 in .
204 in . 210
in . 59 in
. 57 in .
144 in . 58
in . 161 in
! 376701 in .
3920 in . 116
in . 57 in
. 85 in .
230 in . 369
in ! 48629 in
. 111 in .
138 in . 112
in . 70 in
. 179 in .
114 in . 215
in . 134 in
. 324 in .
104 in . 109
in . 8625 in
. 137 in .
71 in . 186
in . 42 in
. 168 in .
135 in . 457
in . 153 in
. 301 in !
6045 in . 178
in . 77 in
. 66 in .
288 in . 125
in . 86 in
. 530 in .
456 in . 3147
in . 620 in
. 260 in .
118 in . 57
in . 346 in
. 214 in .
260 in . 243
in . 188 in
. 64 in .
78 in . 448
in . 59 in
. 212 in .
68 in . 86
in . 153 in
. 76 in .
1804 in . 201
in . 56 in
. 499 in .
110 in . 347
in . 137 in
. 241 in .
120 in . 1481
in . 1605 in
. 101 in .
56 in . 880
in . 213 in
. 69 in .
86 in . 876
in . 91 in
. 945 in .
224 in . 233
in . 105 in
. 324 in .
70 in . 562
in . 60 in
. 503 in .
86 in . 219
in . 49 in
. 159 in .
71 in . 96
in . 102 in
. 82 in .
282 in . 235
in . 69 in
. 123 in .
918 in . 2150
in ! 147559 in
. 317 in .
122 in . 63
in . 155 in
. 67 in .
76 in ! 25026
in . 8908 in
. 216 in .
239 in . 848
in . 216 in
. 579 in .
3169 in . 92
in . 48 in
. 15241 in .
95 in . 8259
in . 310 in
. 869 in .
114 in ! 22446
in . 372 in
. 277 in .
1477 in . 359
in . 129 in
. 61 in .
2084 in . 5282
in . 273 in
. 54 in .
1224 in . 17198
in . 63 in
. 163 in .
208 in . 155
in . 930 in
. 61 in .
150 in . 2236
in . 119 in
. 4039 in .
2038 in . 195
in ! 32264 in
. 311 in .
766 in . 8501
in . 242 in
. 2320 in .
60 in . 262
in . 57 in
. 57 in !
6403 in . 2097
in . 81 in
. 4301 in .
380 in . 62
in ! 3787 in
. 393 in .
136 in . 1337
in . 89 in
. 84 in .
52 in . 295
in . 430 in
. 3612 in .
44 in . 250
in . 7926 in
. 2949 in .
363 in ! 15678
in . 618 in
. 534 in .
492 in . 933
in . 1067 in
. 75 in .
232 in . 65
in . 874 in
! 15387 in .
6366 in . 63
in ! 23297 in
. 6912 in .
539 in . 84
in . 229 in
. 3187 in .
240 in . 138
in . 103 in
. 162 in .
2845 in . 146
in . 1433 in
. 89 in .
90 in . 1808
in . 77 in
. 113 in .
186 in . 44
in . 277 in
. 299 in .
127 in . 1055
in . 552 in
. 151 in .
674 in ! 9991
in . 83 in
. 297 in .
652 in . 182
in . 1248 in
. 2029 in .
1381 in . 86
in . 65 in
. 147 in .
172 in . 254
in . 13418 in
. 103 in .
505 in . 1658
in . 228 in
. 84 in .
58 in . 9753
in . 2855 in
. 202 in .
378 in . 47
in . 65 in
. 199 in .
235 in . 107
in . 5081 in
. 134 in .
327 in . 906
in . 1550 in
. 82 in .
213 in . 226
in ! 13840 in
. 535 in .
833 in ! 19573
in . 77 in
. 103 in .
127 in . 46
in . 89 in
. 561 in .
202 in . 124
in . 107 in
. 205 in .
68 in . 904
in ! 137716 in
. 143 in .
128 in . 167
in . 85 in
. 142 in .
76 in . 498
in . 87 in
. 54 in .
78 in . 3242
in . 106 in
. 71 in .
704 in . 87
in . 2384 in
. 246 in .
43 in ! 72858
in . 85 in
. 59 in .
125 in . 6306
in . 125 in
. 57 in .
239 in . 33837
in . 1692 in
. 518 in .
236 in . 331
in . 1023 in
. 124 in .
12433 in . 68391
in . 51 in
! 28608 in .
727 in ! 8877
in ! 550 in
. 134 in .
101 in . 1551
in . 919 in
. 2562 in .
77 in . 131
in . 815 in
. 229 in .
70 in . 142
in . 207 in
. 246 in .
53 in . 493
in . 14162 in
. 1529 in .
15969 in . 283
in ! 86611 in
. 263 in .
95 in . 226
in . 604 in
. 51 in .
691 in . 317
in . 848 in
. 94 in !
16137 in . 423
in . 64 in
. 7666 in .
136 in . 44
in . 184 in
. 46 in .
3630 in . 342
in . 630 in
. 952 in .
1688 in . 205
in . 30173 in
. 5039 in .
79 in . 86
in . 12456 in
. 78 in .
47 in . 110
in . 710 in
. 139 in .
247 in . 153
in . 354 in
. 3085 in .
52 in . 93
in . 1399 in
. 119 in .
1239 in . 195
in . 67 in
. 41 in .
707 in . 66
in . 243 in
. 150 in .
432 in . 157
in . 135 in
! 167637 in .
20887 in . 56
in . 111 in
. 393 in .
244 in . 333
in . 234 in
. 318 in .
483 in . 88
in . 92 in
. 114 in .
75 in . 1552
in ! 431 in
. 425 in .
54 in . 148
in . 81 in
. 1147 in .
2776 in . 74
in . 118 in
. 48 in .
199 in . 67
in . 854 in
. 97 in .
520 in . 44
in . 21273 in
. 157 in .
167 in . 128
in . 65 in
. 521 in .
2843 in . 111
in . 118 in
. 62 in .
356 in . 149
in . 531 in
. 177 in .
2070 in . 719
in . 1432 in
. 69 in .
606 in . 109
in . 59 in
! 12514 in .
2771 in . 2344
in . 1878 in
. 76 in .
342 in . 140
in . 177 in
. 3376 in .
150 in . 580
in . 575 in
. 53 in !
231408 in . 52
in . 3141 in
. 93 in .
5238 in . 229
in . 64 in
. 1258 in !
21516 in . 5655
in . 1492 in
. 237 in .
91 in . 90
in . 167 in
. 5288 in .
271 in . 97
in . 93 in
. 3484 in !
53445 in . 2572
in . 2594 in
. 48 in .
356 in . 785
in . 174 in
. 1341 in .
170 in ! 46452
in . 1184 in
. 130 in .
271 in ! 1261
in ! 326124 in
! 561087 in .
1288 in . 1513
in . 114 in
. 42 in .
687 in . 4098
in . 752 in
. 183 in .
1049 in . 111106
in . 158 in
. 137 in .
159 in . 1403
in . 97 in
. 111 in .
105 in . 116
in . 112 in
. 66 in .
140 in . 86
in . 136 in
. 132 in .
66 in . 399
in . 77 in
. 83 in .
218 in . 248
in . 537 in
. 913 in .
5060 in . 76
in . 152 in
. 75 in .
313 in . 4699
in . 214 in
. 285 in .
97 in . 92
in . 6160 in
. 67 in .
158 in . 231
in . 145 in
. 251 in .
187 in . 135
in . 70 in
. 315 in .
84 in . 230
in . 10033 in
. 327 in .
2179 in . 213
in . 139 in
. 589796 in .
1066 in . 824
in . 1862 in
. 91 in .
692 in . 107
in . 63 in
. 11484 in .
188 in . 122
in . 161 in
. 115 in .
44 in . 85
in . 405 in
. 50 in .
1691 in . 1446
in . 496 in
. 88 in .
153 in . 62
in . 66 in
. 210 in .
105 in . 45
in . 214 in
. 537 in .
364 in . 186
in . 137 in
. 448 in .
71 in . 435
in . 233 in
. 656 in .
81 in . 63
in . 9784 in
. 73 in .
245 in . 41
in . 93 in
! 64683 in .
515 in . 4843
in . 2392 in
. 119 in .
52 in . 1002
in . 140 in
. 196 in .
91 in . 174
in . 59 in
! 67800 in .
882 in . 1363
in . 53 in
. 128 in .
129 in . 123
in . 80 in
. 705 in .
1990 in . 840
in . 53 in
! 39295 in .
948 in . 107
in . 223 in
. 220 in .
384 in . 280
in . 84 in
. 376 in .
555 in ! 63946
in . 6017 in
. 47 in .
754 in . 605
in . 41 in
. 94 in .
1601 in ! 45498
in . 67 in
. 2455 in .
377 in . 161
in ! 9573 in
. 421 in .
229 in . 12164
in . 12656 in
. 75 in .
18484 in . 998
in . 83 in
. 1819 in !
121437 in . 18950
in . 1808 in
. 10602 in .
311 in . 1765
in . 789 in
. 4359 in .
7073 in . 6592
in . 343 in
. 437 in .
1315 in . 79
in . 91 in
. 1234 in .
4952 in . 3048
in . 887 in
. 915 in .
659 in . 89
in . 5999 in
. 234 in .
46 in . 4369
in . 41 in
. 264 in .
4726 in . 303
in . 1127 in
. 8750 in .
3232 in . 77
in ! 16646 in
! 26428 in .
459 in . 2602
in . 1596 in
. 104 in .
67 in . 55
in ! 109997 in
. 71 in .
551 in . 557
in . 616 in
. 339 in .
296 in . 91
in . 158 in
. 15717 in .
130 in . 73
in . 369 in
. 112 in .
181 in . 119
in . 407 in
. 2851 in .
40 in ! 13214
in . 1928 in
. 56 in .
1100 in . 1128
in . 817 in
. 691 in .
127 in . 3037
in . 620 in
. 270 in .
93 in . 300
in . 155 in
. 112 in .
53 in . 89
in . 2955 in
. 117 in .
128 in . 87
in . 2487 in
. 481 in .
205 in . 52
in . 57 in
. 61 in .
89 in . 65
in . 227 in
. 279 in .
75 in . 156
in . 113 in
. 382 in .
103 in ! 265682
in . 345 in
. 219 in .
64 in . 62
in . 240 in
. 136 in .
300 in . 47
in . 97 in
. 59 in .
88 in . 88
in . 2389 in
. 47 in .
161 in . 216
in . 90 in
. 222 in .
67 in . 81
in . 4496 in
. 44 in .
228 in . 278
in . 6930 in
. 1326 in .
3061 in . 555
in . 440 in
. 387 in .
133 in . 168
in . 398 in
. 2428 in .
320 in . 97
in . 62 in
. 45 in .
5681 in . 474
in . 155 in
. 66 in .
53 in . 391
in . 181 in
. 60 in .
2840 in . 114
in . 147 in
. 575 in .
260 in . 69
in . 108 in
. 89 in .
155 in . 101
in . 58 in
. 680 in .
332 in . 130
in . 260 in
. 2249 in .
348 in . 110
in . 131 in
. 95 in .
170 in . 110
in . 322 in
. 646 in .
1325 in . 97
in ! 11350 in
. 158 in .
137 in . 401
in ! 35663 in
. 51833 in .
6460 in . 65
in . 429 in
. 88 in .
754 in ! 107904
in . 141 in
. 437 in .
186 in . 93
in . 204 in
. 1829 in .
1286 in . 161
in . 5199 in
. 116 in !
284951 in . 616
in . 578 in
. 236 in .
916 in ! 51458
in ! 15420 in
. 4682 in .
651 in . 93
in . 92 in
. 60 in .
60 in . 77
in . 432 in
. 236 in .
111 in . 55
in . 559 in
. 123 in .
91 in . 1221
in . 1221 in
. 2022 in .
133 in . 105
in . 66 in
. 937 in !
625260 in . 61
in ! 1727 in
. 463 in .
5679 in . 451
in . 117 in
. 299 in .
2433 in . 91768
in . 167 in
. 84 in .
143 in . 231
in . 199 in
. 90 in .
138 in . 199
in . 82 in
. 183 in .
110 in . 653
in . 123 in
. 1309 in .
1226 in . 43
in . 71 in
. 1135 in .
1898 in . 359
in . 262 in
. 2666 in .
2373 in ! 51513
in . 529 in
. 467 in .
64 in . 2662
in . 504 in
. 45 in .
41 in . 648
in . 1814 in
. 105 in .
66 in . 211
in . 384 in
. 54 in !
14978 in . 2653
in . 4061 in
. 237 in .
698 in . 577
in . 821 in
. 4453 in .
141 in . 139
in . 104 in
. 3835 in .
77 in . 44
in . 581 in
. 46 in .
185 in . 1039
in . 512 in
. 64 in .
3283 in . 74
in . 50 in
. 631 in .
7865 in . 2701
in . 134 in
. 95 in .
91 in ! 249954
in . 1697 in
. 511 in .
301 in . 73
in . 346 in
. 397 in .
387 in . 70
in . 57 in
. 1384 in .
93 in . 2390
in . 54 in
. 900 in .
230 in . 598
in . 181 in
. 190 in .
127 in . 7761
in . 457 in
. 67 in .
2347 in . 220
in . 74 in
. 56 in .
60 in . 4223
in . 53 in
. 83 in .
172 in . 85
in . 106 in
. 126 in .
85 in . 335
in ! 29333 in
. 252 in .
650 in ! 19106
in ! 17919 in
. 134 in .
369 in . 83
in . 166 in
. 1476 in .
726 in . 11596
in . 89 in
. 73 in .
541 in . 120
in . 65 in
. 57 in .
105 in . 399
in . 50 in
. 331 in .
773 in . 634
in . 4214 in
. 919 in .
46 in . 195
in . 237 in
. 79 in .
119 in . 88
in . 47 in
. 314 in .
213 in . 117
in . 53 in
. 405 in .
49 in . 64
in . 1338 in
! 40483 in !
18801 in . 94
in . 89 in
. 7679 in .
225 in . 694
in . 51 in
. 689 in .
82 in . 656
in . 257 in
. 50 in !
19429 in . 575
in . 69 in
. 51 in .
337 in . 94
in . 119 in
. 798 in .
135 in . 65
in . 112 in
. 2922 in .
67 in . 2149
in . 73 in
. 68 in .
525 in . 5834
in . 61 in
. 149 in .
1075 in . 92
in . 79 in
. 135 in !
24047 in . 162
in . 1025 in
. 2295 in .
2423 in . 320
in . 245 in
. 1923 in .
69 in . 669
in . 1782 in
. 74 in .
750 in . 76
in . 177 in
. 236 in .
693 in . 168
in . 506 in
! 16438 in .
251 in . 75
in . 335 in
. 83 in !
3908 in . 154
in . 75 in
. 194 in .
1279 in . 64
in . 164 in
. 175 in .
1998 in . 292
in . 1399 in
. 676 in .
245 in . 54
in . 134 in
. 62 in .
96 in . 1269
in . 2432 in
. 594 in .
909 in . 177
in . 179 in
. 63 in .
85 in . 218
in . 185 in
. 145 in .
97 in . 74
in . 72 in
. 86 in .
55 in . 115
in . 309 in
. 200 in .
74 in . 2388
in . 50 in
. 177 in .
129 in . 90
in . 214 in
. 3191 in .
123 in . 498
in . 42 in
. 4246 in .
61 in . 79
in . 188 in
. 129 in ?
49 in . 162
in . 74 in
. 543 in .
73 in . 664
in . 84 in
. 86 in .
63 in . 54
in ! 7637 in
. 457 in .
47 in . 50
in . 238 in
. 150 in .
147 in . 90
in . 78 in
. 95 in .
83 in . 45
in . 3217 in
. 410 in .
162 in . 65
in . 217 in
. 328 in .
67 in . 171
in . 2955 in
. 122 in .
495 in . 567
in . 72 in
. 15963 in .
107 in . 308
in . 47 in
. 110 in .
43 in . 163
in . 393 in
. 5352 in .
836 in . 3116
in . 75 in
! 2484 in .
110 in . 122
in . 681 in
. 84 in .
48 in . 635
in . 114 in
. 230 in .
358 in . 181
in . 47 in
. 99 in .
492 in . 95
in . 81 in
. 53 in .
938 in . 206
in . 4111 in
. 111 in .
238 in . 112
in . 63 in
. 63 in .
124 in . 276
in . 83 in
. 133 in .
192 in . 248
in . 60292 in
. 1266 in .
1719 in . 54
in . 138 in
. 210 in .
342 in . 497
in . 119 in
. 48 in .
140 in . 131
in . 925 in
. 52 in .
90 in . 1110
in . 96 in
. 61 in .
443 in . 4064
in . 687 in
. 396 in .
53 in . 330
in . 264 in
. 54 in !
40495 in . 206
in . 180 in
. 5366 in .
638 in . 911
in . 653 in
. 100 in .
288 in . 75
in . 585 in
. 29942 in .
196 in . 239
in . 53 in
. 414 in .
1882 in . 7471
in . 49 in
. 95 in .
7262 in . 2556
in . 137 in
. 17236 in .
940 in . 105
in ! 11388 in
. 250 in .
517 in ! 625262
in . 137 in
. 105 in .
438 in . 267
in . 312 in
. 41 in .
201 in . 305
in . 54 in
. 615 in .
58 in ! 204812
in . 213 in
. 139 in !
70740 in ! 14770
in . 187 in
. 1147 in .
62 in . 75
in . 1711 in
. 3194 in .
360 in . 347
in . 1123 in
. 352 in .
674 in ! 25838
in . 106 in
! 15801 in .
11000 in . 52
in . 237 in
. 72 in .
103 in . 1385
in . 53 in
. 1298 in .
378 in . 124
in . 313 in
. 296 in .
321 in ! 1022
in . 195 in
. 559 in .
450 in . 54
in . 56 in
. 63 in .
7176 in . 4655
in . 59 in
! 20151 in !
153415 in . 169
in . 896 in
. 64 in .
81 in . 111
in . 332 in
. 168 in .
42 in . 57
in . 286 in
. 103 in .
912 in . 121
in . 172 in
. 418 in .
83 in . 185
in . 165 in
. 283 in .
201 in . 63
in . 42 in
. 581 in .
2270 in . 75
in . 193 in
. 105 in !
10072 in . 71
in . 70 in
. 1713 in .
105 in . 500
in . 53 in
. 192 in .
1035106 in . 50
in ! 39677 in
. 58 in .
44 in ! 16270
in . 59 in
. 5719 in .
187 in . 2808
in ! 62111 in
! 11653 in .
463 in ! 9688
in . 280 in
. 886 in .
90 in . 60
in . 195 in
. 335 in .
104 in . 41
in . 328 in
. 59 in .
390 in . 108
in ! 64043 in
. 13720 in .
1362 in . 80
in . 91 in
. 107 in .
144 in ! 93594
in . 85 in
. 953 in !
4904 in . 376
in ! 26574 in
. 781 in .
70 in . 56
in . 322 in
. 76 in .
196 in . 930
in . 180 in
. 1968 in .
1162 in . 82
in . 479 in
. 102 in .
182 in . 778
in . 20162 in
. 291 in !
102415 in ! 10178
in . 566 in
. 105 in .
45 in ! 5684
in . 7384 in
. 494 in .
54 in . 293
in . 51 in
. 62 in .
139 in . 562
in . 14271 in
. 119 in .
1494 in ! 29020
in . 330 in
. 591 in .
47 in . 50
in . 261 in
! 184414 in .
309 in . 3052
in . 67 in
. 1276 in .
327 in . 57
in . 333 in
! 529446 in .
408 in . 183
in . 781 in
. 1072 in .
997 in . 113
in . 1045 in
! 28357 in .
1372 in . 269
in . 195 in
. 1357 in .
181 in . 45
in . 395 in
. 1058 in !
8753 in . 157
in . 125 in
. 75 in .
167 in . 51
in . 416 in
. 59 in .
1760 in . 5675
in . 357 in
. 535 in .
193 in . 710
in . 43 in
. 62 in .
158 in . 53
in . 65 in
. 139 in .
41 in ! 18488
in . 127 in
. 72 in .
293 in . 155
in ! 414804 in
. 193 in .
114 in . 137
in . 1317 in
. 10931 in .
218 in ! 26199
in . 210 in
! 52064 in .
71 in . 488
in ! 309 in
. 191 in .
61 in . 121
in . 55 in
. 84 in .
60 in . 413
in . 8055 in
. 105 in .
71 in . 573
in . 656 in
. 161 in .
118 in . 123
in . 14666 in
. 6674 in .
385 in . 117
in . 272 in
! 1881 in .
473 in . 411
in ! 13247 in
. 1939 in .
224 in . 65
in . 278 in
. 15232 in .
44 in ! 49343
in . 101 in
. 7127 in .
151 in . 1978
in . 223 in
. 72 in .
116 in . 4208
in . 257 in
. 98 in .
1103 in . 108
in . 416 in
. 4027 in .
78 in ! 51535
in . 271 in
. 61 in .
84 in . 940
in . 85 in
! 17052 in .
628 in . 358
in . 134 in
. 65 in .
483 in . 219
in . 87 in
. 350 in .
1513 in . 93
in . 133 in
. 160 in .
250 in . 94
in . 410 in
. 5394 in .
3749 in . 485
in . 487 in
. 62 in .
945 in . 2818
in . 49 in
. 1814 in .
109 in . 944
in . 349 in
. 309 in .
9556 in . 207
in . 168 in
. 42 in .
52 in . 357
in . 1389 in
. 71 in .
116 in . 621
in . 141 in
. 173 in .
53 in . 1245
in . 258 in
. 187 in .
326 in . 63
in . 213 in
. 163 in .
200 in . 84
in . 9281 in
. 105 in .
88 in . 705
in . 40 in
. 84 in .
207 in . 803
in . 61 in
. 678 in .
194 in . 108
in ! 11638 in
. 115 in .
157 in . 423
in . 328 in
. 288 in !
11456 in . 1352
in . 492 in
! 23179 in .
188 in . 357
in . 47 in
. 203 in .
278 in . 3370
in . 162 in
. 56 in .
106 in . 76
in . 152 in
. 70 in .
47 in ! 6681
in . 765 in
. 136 in .
355 in . 55
in . 95 in
. 4827 in .
72 in ! 3419
in . 522 in
. 58 in !
502821 in ! 27462
in . 755 in
. 214 in !
14290 in . 50
in . 134 in
. 122 in !
3066 in . 572
in . 271 in
. 71 in .
170 in . 195
in . 1655 in
. 111 in .
958 in . 141
in . 17044 in
. 4236 in .
131 in . 320
in . 663 in
. 316 in .
330 in . 689
in . 167 in
. 167 in .
1006 in . 120
in . 158 in
! 19615 in .
5187 in . 128
in ! 8141 in
. 66 in .
1220 in . 51
in ! 19334 in
. 226 in .
1124 in . 96
in . 1080 in
. 747 in .
592 in . 43
in . 55 in
. 164 in .
117 in . 135
in . 127 in
. 187 in .
68 in . 6200
in . 790 in
. 105 in .
110 in . 286
in . 534 in
. 51 in .
513 in . 262
in . 60 in
. 8330 in .
112 in . 210
in . 97 in
. 46 in .
671 in . 171
in . 702 in
. 334 in .
119 in . 126
in . 1073 in
. 452 in .
104 in . 56
in . 85 in
. 245 in .
73 in . 89
in . 60 in
. 67 in .
70 in . 411
in . 101 in
. 103 in .
108 in ! 667
in . 187 in
! 12496 in .
56 in . 252
in ! 533822 in
! 14640 in .
184 in . 130
in . 250 in
. 641 in .
76 in . 90
in . 205 in
. 306 in .
98 in . 260
in . 635 in
! 2166503 in .
1855 in . 87
in . 240 in
. 113 in .
61 in . 1214
in . 86 in
. 105 in !
6547 in . 205
in . 290 in
. 188 in .
