war . 70 war .
was . 63 was .
181 was . 94 was
. 94 was . 141
was . 47 was .
88 was . 59 was
. 142 was . 78
was . 207 was .
161 was . 66 was
. 310 was . 53
was . 96 was .
211 was . 363 was
. 67 was . 107
was . 51 was .
173 was . 58 was
. 41 was . 351
was . 99 was .
98 was . 122 was
. 129 was . 68
was . 60 was .
1338 was . 261 was
. 158 was . 43
was . 536 was .
92 was . 63 was
. 48 was . 75
was . 52 was .
97 was . 419 was
. 47 was . 208
was . 81 was .
92 was . 146 was
! 1067 was . 264
was . 210 was .
59 was . 49 was
. 186 was . 65
was . 71 was .
281 was . 91 was
. 286 was . 120
was . 44 was .
55 was . 48 was
. 50 was . 45
was . 6054 was .
153 was . 376 was
. 44 was . 140
was . 212 was .
90 was . 127 was
. 65 was . 44
was . 373 was .
3378 was . 80 was
. 12351 was . 574
was . 83 was .
128 was . 631 was
. 136 was . 65
was . 58 was .
69 was . 130 was
. 83 was . 55
was . 77 was .
150 was . 65 was
. 119 was . 106
was . 71 was .
67 was . 230 was
. 67 was . 46
was ! 126 was .
451 was . 121 was
. 58 was . 316
was . 45 was .
67 was . 62 was
. 40 was . 325
was . 400 was .
139 was ! 20077 was
! 49 was . 43
was . 100 was .
41 was . 4554 was
. 132 was . 41
was . 73 was .
191 was . 46 was
. 400 was . 223
was . 98 was .
126 was . 45 was
. 43 was . 40
was . 585 was .
73 was . 959 was
. 111 was . 73
was . 62 was .
684 was . 54 was
. 128 was ! 94
was . 90 was .
92 was . 84 way
. 55 way . 49
way . 66 way .
41 way . 603 way
. 82 way . 46
way . 138 way .
56 way . 183 way
. 49 way . 68
way . 329 way .
47 way . 73 way
. 89 way . 65
way . 83 way .
108 way . 209 way
. 53 way . 70
way . 46 way .
78 way . 86 way
. 75 weak . 48
weal . 49 wear .
87 wel . 43 who
. 44 who . 62
who . 49 who .
4153 who . 114 who
. 41 who . 61
who . 51 who .
45 who . 796 who
. 257 who . 543
who . 395 who .
137 who . 42 who
. 157 who . 74
who . 66 who .
394 who . 164 who
. 805 who . 61
who . 93 who ?
73 who . 46 who
. 63 who . 75
who . 944 who .
225 who . 101 who
. 57 who . 778
who . 92 who .
81 who . 1437 who
. 111 who . 378
who . 90 who .
79 who . 188 who
. 61 who . 211
who . 73 who .
594 who . 229 who
. 777 who ! 1455
who . 895 who .
126 who ! 697 who
. 2125 who . 409
who . 125 who .
59 who . 94 who
. 50 who . 47
who . 76 who .
168 who . 1388 who
. 157 who . 1258
who . 183 who .
42 who . 161 who
. 704 who . 200
who ! 904 who !
648 who . 217 who
. 303 who . 149
who . 73 who .
89 who . 358 who
. 60 who . 70
who . 146 who .
58 who . 168 who
. 393 who . 68
who . 90 who .
406 who . 184 who
. 6228 who . 180
who . 2856 who .
82 who ? 74 who
. 46 who . 176
who . 58 who .
83 who . 72 who
. 418 who . 58
who . 80 who .
44 who . 58 who
. 196 who . 84
who . 46 who .
500 who . 430 who
. 51 who . 56
who . 56 who .
288 who . 1700 who
. 71 who . 68
who . 47 who .
116 who . 231 who
. 184 who . 79
who . 47 who .
111 who . 120 who
. 1041 who . 54
who . 1707 who .
56 who . 930 who
. 48 who . 900
who . 100 who .
72 who . 175 who
. 42 who . 136
who . 66 who !
2990 who ! 1709 who
! 3219 who . 260
who . 113 who .
52 who . 170 who
. 122 who . 289
who . 61 who .
61 who . 102 who
. 129 who . 67
who . 40 who .
266 who . 1208 who
. 45 who . 48
who . 130 who .
84 who . 374 who
. 135 who . 92
who . 97 who .
67 who . 305 who
. 282 who . 164
who . 235 who .
99 who . 55 who
. 44 who . 288
who . 127 who .
322 who . 293 who
. 218 who . 955
who . 71 who .
253 who . 1121 who
. 285 who . 62
who . 135 who .
69 who . 260 who
. 63 who . 306
who . 122 who .
89 who . 58 who
. 51 who . 73
who . 79 who .
368 who . 85 who
. 52 who . 414
who . 640 who .
198 who . 280 who
. 65 who . 1825
who . 578 who .
1692 who . 351 who
. 159 who . 91
who . 71 who .
67 who . 114 who
. 156 who . 59
who . 79 who .
84 who . 534 who
. 328 who . 374
who . 65 who .
402 who . 150 who
. 1410 who . 829
who . 53 who .
527 who . 48 who
. 95 who . 68
who . 60 who .
142 who . 1410 who
. 73 who . 94
who . 192 who .
633 who . 67 who
. 966 who . 52
who . 50 who .
65 who . 54 who
. 42 who . 103
who . 58 who .
57 who . 91 who
. 53 who . 94
who . 73 who .
182 who . 48 who
. 53 who . 172
who . 173 who .
56 who . 480 who
. 618 who . 226
who . 658 who .
216 who . 1468 who
. 326 who . 83
who . 43 who .
1920 who . 469 who
. 131 who . 285
who . 120 who .
77 who . 86 who
. 89 who . 56
who . 221 who .
359 who . 102 who
! 4888 who . 48
who . 91 who .
54 who . 260 who
. 949 who . 228
who . 126 who .
461 who . 46 who
. 71 who . 93
who . 103 who .
42 who . 114 who
. 43 who . 205
who . 63 who .
88 who . 50 who
. 1252 who . 47
who . 476 who .
581 who . 43 who
. 2888 who . 1349
who . 54 who .
66 who . 103 who
. 851 who . 624
who . 197 who .
106 who . 41 who
. 138 who . 285
who . 46 who .
60 who . 52 who
. 513 who . 2984
who . 144 who .
87 who . 45 who
. 654 who . 5570
who ! 4280 who .
254 who . 1339 who
. 1635 who . 2727
who . 345 who .
684 who . 126 who
. 425 who . 299
who . 41 who .
6148 who . 1284 who
. 68 who . 48
who . 48 who .
85 who . 775 who
. 52 who . 125
who . 2274 who .
65 who . 440 who
. 169 who . 101
who . 91 who .
209 who . 1468 who
. 1077 who . 385
who . 41 who !
127 who . 48 who
. 388 who . 239
who . 60 who .
230 who . 77 who
. 51 who ! 7281
who . 243 who .
226 who . 211 who
. 8625 who . 52
who . 154 who .
829 who . 53 who
. 110 who . 103
who . 195 who .
62 who . 53 who
. 2591 who . 147
who . 66 who .
50 who . 51 who
. 521 who . 342
who . 138 who .
55 who . 361 who
. 139 who . 186
who . 43 who .
83 who . 115 who
. 774 who . 41
who . 510 who .
91 who . 2167 who
. 1023 who . 548
who . 164 who .
106 who . 241 who
. 640 who . 47
who . 79 who .
273 who . 128 who
. 372 who . 263
who . 48 who .
49 who . 156 who
. 274 who . 51
who . 51 who .
63 who . 129 who
. 41 who . 56
who . 80 who .
85 who . 732 who
. 180 who . 122
who . 96 who .
743 who . 313 who
. 410 who . 137
who . 92 who .
46 who . 549 who
! 1237 who . 1745
who . 144 who .
935 who . 107 who
. 65 who . 45
who . 214 who .
143 who . 188 who
. 123 who . 57
who . 399 who .
247 who . 73 who
. 187 who . 86
who . 128 who .
132 who . 106 who
. 41 who . 60
who . 321 who .
86 who . 69 who
. 55 who . 68
who . 44 who .
84 who . 183 who
. 275 who . 156
who . 188 who .
97 who . 52 why
? 40 why ? 92
why ? 53 why ?
65 why ? 52 why
? 45 why ? 43
with . 68 with .
120 with . 45 with
. 63 with . 99
with . 45 with .
65 with . 44 with
. 166 with . 109
with . 56 with .
1267 with . 497 with
. 153 with . 61
with . 88 with .
147 with . 528 with
. 45 with . 235
with . 99 with .
388 with . 53 with
. 48 with . 48
with . 58 with .
110 with . 89 with
. 132 with . 116
with . 120 with .
41 with . 160 with
. 50 with . 104
with . 41 with .
530 with . 93 with
. 46 with . 141
with . 61 with .
631 with . 104 with
. 49 with . 70
with . 257 with .
83 with . 131 with
. 61 with . 142
with . 118 with .
162 with . 283 with
. 87 with . 64
with . 70 with .
67 with . 50 with
. 47 with . 154
with . 44 with .
402 with . 74 with
. 82 with . 42
with . 59 with .
42 with . 91 with
. 79 with . 54
with . 228 with .
132 with . 73 with
. 57 with . 43
with . 50 with .
68 with . 45 with
. 40 with . 191
with . 49 with .
54 with . 51 with
. 79 with . 71
with . 160 with .
45 with . 43 with
! 81 with . 85
